Insight Version,1.0.5.2,,,,,
Generation Time,11/24/2022 18:57,,,,,
Date From,11/24/2022 9:14,,,,,
Date To,11/24/2022 18:56,,,,,
,,,,,,
GMP251,U3730359,1.3.4,,,,
,,,,,,
GMP251,U3930116,1.3.4,,,,
,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,
11/24/2022 9:14,13.680305,4.483312,,,,
11/24/2022 9:14,14.042556,4.011169,,,,
11/24/2022 9:14,14.256852,3.926262,,,,
11/24/2022 9:15,14.3349,3.761801,,,,
11/24/2022 9:15,14.454275,3.740897,,,,
11/24/2022 9:15,14.513244,6.080091,,,,
11/24/2022 9:15,14.566517,7.037879,,,,
11/24/2022 9:15,14.580447,8.862624,,,,
11/24/2022 9:15,14.617653,10.061845,,,,
11/24/2022 9:15,14.676397,10.61523,,,,
11/24/2022 9:15,14.733412,11.318238,,,,
11/24/2022 9:15,15.162712,11.643836,,,,
11/24/2022 9:15,15.362025,11.999946,,,,
11/24/2022 9:15,15.465278,12.332891,,,,
11/24/2022 9:15,15.47054,12.564638,,,,
11/24/2022 9:16,15.47616,12.685572,,,,
11/24/2022 9:16,15.49296,12.747832,,,,
11/24/2022 9:16,15.526594,12.874002,,,,
11/24/2022 9:16,15.540722,13.169778,,,,
11/24/2022 9:16,15.555405,13.251828,,,,
11/24/2022 9:16,15.566608,13.36094,,,,
11/24/2022 9:16,15.59419,13.41846,,,,
11/24/2022 9:16,15.596284,13.451528,,,,
11/24/2022 9:16,15.60586,13.442988,,,,
11/24/2022 9:16,15.617898,13.43404,,,,
11/24/2022 9:16,15.617989,13.398703,,,,
11/24/2022 9:16,15.616697,13.36507,,,,
11/24/2022 9:17,15.617703,13.292622,,,,
11/24/2022 9:17,15.619564,13.253748,,,,
11/24/2022 9:17,15.614878,13.129955,,,,
11/24/2022 9:17,15.61422,13.041861,,,,
11/24/2022 9:17,15.596684,12.979445,,,,
11/24/2022 9:17,15.320266,12.950813,,,,
11/24/2022 9:17,15.228797,12.90757,,,,
11/24/2022 9:17,15.10201,12.887744,,,,
11/24/2022 9:17,15.02579,12.835268,,,,
11/24/2022 9:17,14.973834,12.804988,,,,
11/24/2022 9:17,14.965481,12.784407,,,,
11/24/2022 9:17,14.945283,12.732128,,,,
11/24/2022 9:18,14.928573,12.690529,,,,
11/24/2022 9:18,14.909562,12.466145,,,,
11/24/2022 9:18,14.85819,12.401563,,,,
11/24/2022 9:18,14.839934,12.330154,,,,
11/24/2022 9:18,14.81769,12.274776,,,,
11/24/2022 9:18,14.80463,12.204829,,,,
11/24/2022 9:18,14.797062,12.157354,,,,
11/24/2022 9:18,14.797656,12.084753,,,,
11/24/2022 9:18,14.801408,12.056516,,,,
11/24/2022 9:18,14.804972,12.037587,,,,
11/24/2022 9:18,14.808464,12.037898,,,,
11/24/2022 9:18,14.808169,12.037406,,,,
11/24/2022 9:19,14.807738,12.033852,,,,
11/24/2022 9:19,14.806734,12.018376,,,,
11/24/2022 9:19,14.807997,11.97735,,,,
11/24/2022 9:19,14.808927,11.967581,,,,
11/24/2022 9:19,14.809994,11.962925,,,,
11/24/2022 9:19,14.80814,11.95767,,,,
11/24/2022 9:19,14.806,11.952153,,,,
11/24/2022 9:19,14.80599,11.947445,,,,
11/24/2022 9:19,14.813094,11.927998,,,,
11/24/2022 9:19,14.88734,11.912626,,,,
11/24/2022 9:19,14.9591,11.901311,,,,
11/24/2022 9:19,15.04042,11.899666,,,,
11/24/2022 9:20,15.07084,11.898548,,,,
11/24/2022 9:20,15.109288,11.897404,,,,
11/24/2022 9:20,15.123103,11.896419,,,,
11/24/2022 9:20,15.122133,11.895652,,,,
