Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 10:34,15.033417,10.928913,,,,,
12/7/2022 10:34,15.037744,10.912345,,,,,
12/7/2022 10:34,15.037912,10.901482,,,,,
12/7/2022 10:34,15.038872,10.894721,,,,,
12/7/2022 10:34,15.039289,10.876376,,,,,
12/7/2022 10:34,15.036895,10.860751,,,,,
12/7/2022 10:34,15.024123,10.849394,,,,,
12/7/2022 10:35,15.007311,10.819406,,,,,
12/7/2022 10:35,15.006502,10.78358,,,,,
12/7/2022 10:35,14.993889,10.779016,,,,,
12/7/2022 10:35,14.982173,10.778761,,,,,
12/7/2022 10:35,14.97083,10.769098,,,,,
12/7/2022 10:35,14.951397,10.761552,,,,,
12/7/2022 10:35,14.944288,10.750005,,,,,
12/7/2022 10:35,14.944469,10.726462,,,,,
12/7/2022 10:35,14.872856,10.657556,,,,,
12/7/2022 10:35,14.853127,10.628243,,,,,
12/7/2022 10:35,14.852905,10.556343,,,,,
12/7/2022 10:35,14.843664,10.517091,,,,,
12/7/2022 10:36,14.839914,10.491927,,,,,
12/7/2022 10:36,14.827066,10.48459,,,,,
12/7/2022 10:36,14.816038,10.453305,,,,,
12/7/2022 10:36,14.809102,10.352057,,,,,
12/7/2022 10:36,14.793503,10.33239,,,,,
12/7/2022 10:36,14.770842,10.327129,,,,,
12/7/2022 10:36,14.770433,10.322467,,,,,
12/7/2022 10:36,14.768352,10.30597,,,,,
12/7/2022 10:36,14.767762,10.304958,,,,,
12/7/2022 10:36,14.76232,10.280991,,,,,
12/7/2022 10:36,14.760716,10.250377,,,,,
12/7/2022 10:36,14.761545,10.220366,,,,,
12/7/2022 10:37,14.764567,10.20673,,,,,
12/7/2022 10:37,14.748377,10.177461,,,,,
12/7/2022 10:37,14.70685,10.146012,,,,,
12/7/2022 10:37,14.68272,10.01682,,,,,
12/7/2022 10:37,14.651627,9.947922,,,,,
12/7/2022 10:37,14.638377,9.926784,,,,,
12/7/2022 10:37,14.625556,9.909447,,,,,
12/7/2022 10:37,14.611138,9.904415,,,,,
12/7/2022 10:37,14.598103,9.901613,,,,,
12/7/2022 10:37,14.597686,9.900979,,,,,
12/7/2022 10:37,14.597381,9.898506,,,,,
12/7/2022 10:37,14.597288,9.894827,,,,,
12/7/2022 10:38,14.595934,9.888484,,,,,
12/7/2022 10:38,14.590842,9.876617,,,,,
12/7/2022 10:38,14.58293,9.845625,,,,,
12/7/2022 10:38,14.57807,9.830506,,,,,
12/7/2022 10:38,14.576573,9.812327,,,,,
12/7/2022 10:38,14.57351,9.800634,,,,,
12/7/2022 10:38,14.571728,9.784213,,,,,
12/7/2022 10:38,14.57125,9.769795,,,,,
12/7/2022 10:38,14.569936,9.766171,,,,,
12/7/2022 10:38,14.570714,9.714498,,,,,
12/7/2022 10:38,14.57082,9.684947,,,,,
12/7/2022 10:38,14.541825,9.652205,,,,,
12/7/2022 10:39,14.528625,9.634644,,,,,
12/7/2022 10:39,14.50074,9.625532,,,,,
12/7/2022 10:39,14.491458,9.626153,,,,,
12/7/2022 10:39,14.478556,9.627783,,,,,
12/7/2022 10:39,14.462405,9.628,,,,,
12/7/2022 10:39,14.449469,9.626949,,,,,
12/7/2022 10:39,14.439633,9.621377,,,,,
12/7/2022 10:39,14.440069,9.616138,,,,,
12/7/2022 10:39,14.445619,9.605453,,,,,
12/7/2022 10:39,14.449056,9.599331,,,,,
12/7/2022 10:39,14.449377,9.597709,,,,,
12/7/2022 10:39,14.448594,9.596871,,,,,
12/7/2022 10:40,14.433438,9.581319,,,,,
12/7/2022 10:40,14.431475,9.570482,,,,,
12/7/2022 10:40,14.431689,9.545853,,,,,
12/7/2022 10:40,14.431755,9.529729,,,,,
12/7/2022 10:40,14.429027,9.518448,,,,,
12/7/2022 10:40,14.425377,9.514058,,,,,
12/7/2022 10:40,14.420623,9.510321,,,,,
12/7/2022 10:40,14.411406,9.509814,,,,,
12/7/2022 10:40,14.407733,9.507823,,,,,
12/7/2022 10:40,14.40674,9.494804,,,,,
12/7/2022 10:40,14.406817,9.483647,,,,,
12/7/2022 10:40,14.406725,9.464313,,,,,
12/7/2022 10:41,14.406605,9.459855,,,,,
12/7/2022 10:41,14.408152,9.447005,,,,,
12/7/2022 10:41,14.404284,9.442869,,,,,
12/7/2022 10:41,14.39828,9.437375,,,,,
12/7/2022 10:41,14.396642,9.434611,,,,,
12/7/2022 10:41,14.392555,9.433389,,,,,
12/7/2022 10:41,14.393484,9.428953,,,,,
12/7/2022 10:41,14.39474,9.423714,,,,,
12/7/2022 10:41,14.384773,9.416696,,,,,
12/7/2022 10:41,14.374548,9.395042,,,,,
12/7/2022 10:41,14.369695,9.380599,,,,,
12/7/2022 10:41,14.368456,9.379054,,,,,
12/7/2022 10:42,14.366575,9.339186,,,,,
12/7/2022 10:42,14.341406,9.311252,,,,,
12/7/2022 10:42,14.313002,9.297545,,,,,
12/7/2022 10:42,14.31664,9.286357,,,,,
12/7/2022 10:42,14.329531,9.271377,,,,,
12/7/2022 10:42,14.329038,9.264737,,,,,
12/7/2022 10:42,14.329975,9.25454,,,,,
12/7/2022 10:42,14.330545,9.242867,,,,,
12/7/2022 10:42,14.330356,9.228884,,,,,
12/7/2022 10:42,14.31324,9.222739,,,,,
12/7/2022 10:42,14.255922,9.214858,,,,,
12/7/2022 10:42,14.21338,9.199533,,,,,
12/7/2022 10:43,14.1962,9.196399,,,,,
