Insight Version,1.0.5.2,,,,
Generation Time,11/25/2022 16:05,,,,
Date From,11/25/2022 9:00,,,,
Date To,11/25/2022 16:05,,,,
,,,,,
GMP251,U3730359,1.3.4,,,
,,,,,
GMP251,U3930116,1.3.4,,,
,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,
11/25/2022 9:10,15.110497,12.165495,,,
11/25/2022 9:10,15.112466,11.974295,,,
11/25/2022 9:10,15.113853,11.731759,,,
11/25/2022 9:10,15.107481,11.596744,,,
11/25/2022 9:11,15.105111,11.372081,,,
11/25/2022 9:11,15.105414,11.082509,,,
11/25/2022 9:11,15.106244,10.922549,,,
11/25/2022 9:11,15.088338,10.739575,,,
11/25/2022 9:11,15.07235,10.52559,,,
11/25/2022 9:11,15.062106,10.353307,,,
11/25/2022 9:11,15.053277,9.73169,,,
11/25/2022 9:11,15.047039,7.632614,,,
11/25/2022 9:11,15.04879,7.735514,,,
11/25/2022 9:11,15.058238,9.01481,,,
11/25/2022 9:11,15.061064,9.687628,,,
11/25/2022 9:11,15.06806,10.327888,,,
11/25/2022 9:12,15.07305,10.787445,,,
11/25/2022 9:12,15.073308,11.016186,,,
11/25/2022 9:12,15.071345,11.103644,,,
11/25/2022 9:12,15.069569,11.117515,,,
11/25/2022 9:12,15.06974,11.126349,,,
11/25/2022 9:12,15.07005,11.130758,,,
11/25/2022 9:12,15.068969,11.133795,,,
11/25/2022 9:12,15.068977,11.126454,,,
11/25/2022 9:12,15.070203,11.114513,,,
11/25/2022 9:12,15.052422,10.511992,,,
11/25/2022 9:12,15.029506,10.116699,,,
11/25/2022 9:12,15.02601,10.276436,,,
11/25/2022 9:13,15.021592,10.62772,,,
11/25/2022 9:13,15.012638,10.912509,,,
11/25/2022 9:13,15.00563,11.320141,,,
11/25/2022 9:13,15.007466,11.454455,,,
11/25/2022 9:13,15.009356,11.484551,,,
11/25/2022 9:13,15.0108,11.536133,,,
11/25/2022 9:13,15.010731,11.57701,,,
11/25/2022 9:13,15.006333,11.626238,,,
11/25/2022 9:13,15.002708,11.652699,,,
11/25/2022 9:13,15.006028,11.688153,,,
11/25/2022 9:13,15.005284,11.70862,,,
11/25/2022 9:13,15.005172,11.73652,,,
11/25/2022 9:14,15.008583,11.752799,,,
11/25/2022 9:14,15.011569,11.771985,,,
11/25/2022 9:14,15.013722,11.819964,,,
11/25/2022 9:14,15.0186,11.852052,,,
11/25/2022 9:14,15.018911,11.853217,,,
11/25/2022 9:14,15.008608,11.853195,,,
11/25/2022 9:14,15.00946,11.853186,,,
11/25/2022 9:14,15.013578,11.853338,,,
11/25/2022 9:14,15.025177,11.853887,,,
11/25/2022 9:14,15.029508,11.859455,,,
11/25/2022 9:14,15.030408,11.872678,,,
11/25/2022 9:14,15.031356,11.883353,,,
11/25/2022 9:15,15.051984,11.883353,,,
11/25/2022 9:15,15.054681,11.904542,,,
11/25/2022 9:15,15.045116,11.902173,,,
11/25/2022 9:15,15.039828,11.900331,,,
11/25/2022 9:15,15.043122,11.889044,,,
11/25/2022 9:15,15.046056,11.889044,,,
11/25/2022 9:15,15.058314,11.86442,,,
11/25/2022 9:15,15.068553,11.855666,,,
11/25/2022 9:15,15.076112,11.859458,,,
11/25/2022 9:15,15.076533,11.855554,,,
11/25/2022 9:15,15.086828,11.849995,,,
11/25/2022 9:15,15.101912,11.849384,,,
11/25/2022 9:16,15.102644,11.847274,,,
11/25/2022 9:16,15.100947,11.845593,,,
11/25/2022 9:16,15.091747,11.84125,,,
11/25/2022 9:16,15.070147,11.837002,,,
11/25/2022 9:16,15.058925,11.833037,,,
11/25/2022 9:16,15.056866,11.832966,,,
11/25/2022 9:16,15.057042,11.838941,,,
11/25/2022 9:16,15.05368,11.841499,,,
11/25/2022 9:16,15.037589,11.851324,,,
