Insight Version,1.0.5.2,,14:30,steady,
Generation Time,05/11/2022 08:45,,,,
Date From,04/11/2022 08:04,,,,
Date To,05/11/2022 08:45,,,,
,,,,,
GMP251,U3930116,1.3.4,,,
,,,,,
GMP251,U3730359,1.3.4,,,
,,,,,
Timestamp,GMP251 U3930116 - Carbon dioxide concentration (%),GMP251 U3730359 - Carbon dioxide concentration (%),,,
04/11/2022 08:04,7.810034,14.999455,,,
04/11/2022 08:04,8.075017,15.013384,,,
04/11/2022 08:04,8.641578,15.031256,,,
04/11/2022 08:04,8.888814,15.04617,,,
04/11/2022 08:04,9.408544,15.061714,,,
04/11/2022 08:04,9.588755,15.065853,,,
04/11/2022 08:04,10.094866,15.066647,,,
04/11/2022 08:05,10.338274,15.067805,,,
04/11/2022 08:05,10.572484,15.06945,,,
04/11/2022 08:05,10.751652,15.073408,,,
04/11/2022 08:05,10.968469,15.094983,,,
04/11/2022 08:05,11.078472,15.112255,,,
04/11/2022 08:05,11.172344,15.12195,,,
04/11/2022 08:05,11.361123,15.128044,,,
04/11/2022 08:05,11.417592,15.133444,,,
04/11/2022 08:05,11.595777,15.135911,,,
04/11/2022 08:05,11.670181,15.141044,,,
04/11/2022 08:05,11.772298,15.18096,,,
04/11/2022 08:05,11.88248,15.18296,,,
04/11/2022 08:06,11.989867,15.147234,,,
04/11/2022 08:06,12.033677,15.101427,,,
04/11/2022 08:06,12.058806,15.018036,,,
04/11/2022 08:06,12.068738,14.968388,,,
04/11/2022 08:06,12.170591,14.889269,,,
04/11/2022 08:06,12.256775,14.859748,,,
04/11/2022 08:06,12.298264,14.840592,,,
04/11/2022 08:06,12.33845,14.832338,,,
04/11/2022 08:06,12.361877,14.815131,,,
04/11/2022 08:06,12.43675,14.815016,,,
04/11/2022 08:06,12.464194,14.817089,,,
04/11/2022 08:06,12.569459,14.8174,,,
04/11/2022 08:07,12.624992,14.817405,,,
04/11/2022 08:07,12.640727,14.816233,,,
04/11/2022 08:07,12.640492,14.813589,,,
04/11/2022 08:07,12.639503,14.80661,,,
04/11/2022 08:07,12.637163,14.801189,,,
04/11/2022 08:07,12.656806,14.797278,,,
04/11/2022 08:07,12.674945,14.796261,,,
04/11/2022 08:07,12.678527,14.793433,,,
04/11/2022 08:07,12.680128,14.790534,,,
04/11/2022 08:07,12.685041,14.789419,,,
04/11/2022 08:07,12.694047,14.789298,,,
04/11/2022 08:07,12.70035,14.789456,,,
04/11/2022 08:08,12.718495,14.788653,,,
04/11/2022 08:08,12.734764,14.788647,,,
04/11/2022 08:08,12.738923,14.785812,,,
04/11/2022 08:08,12.748761,14.782864,,,
04/11/2022 08:08,12.778423,14.775289,,,
04/11/2022 08:08,12.79617,14.761519,,,
04/11/2022 08:08,12.804478,14.75019,,,
04/11/2022 08:08,12.808936,14.749716,,,
04/11/2022 08:08,12.812298,14.75591,,,
04/11/2022 08:08,12.827709,14.758305,,,
04/11/2022 08:08,12.851673,14.762194,,,
04/11/2022 08:08,12.871713,14.765147,,,
04/11/2022 08:09,12.876088,14.767938,,,
04/11/2022 08:09,12.889114,14.768228,,,
04/11/2022 08:09,12.901008,14.764839,,,
04/11/2022 08:09,12.912923,14.755828,,,
04/11/2022 08:09,12.918308,14.747548,,,
04/11/2022 08:09,12.972888,14.74333,,,
04/11/2022 08:09,13.017084,14.742236,,,
04/11/2022 08:09,13.083911,14.720247,,,
04/11/2022 08:09,13.119784,14.700925,,,
04/11/2022 08:09,13.128598,14.691114,,,
04/11/2022 08:09,13.126655,14.690695,,,
04/11/2022 08:09,13.128403,14.690897,,,
04/11/2022 08:10,13.135752,14.688203,,,
04/11/2022 08:10,13.138186,14.688039,,,
04/11/2022 08:10,13.161364,14.688169,,,
04/11/2022 08:10,13.216648,14.692227,,,
04/11/2022 08:10,13.285972,14.688088,,,
