Insight Version,1.0.5.2,,,,
Generation Time,12/09/2022 18:48,,,,
Date From,12/09/2022 09:14,,,,
Date To,12/09/2022 18:48,,,,
,,,,,
GMP251,U3730359,1.3.4,,,
,,,,,
GMP251,U3930116,1.3.4,,,
,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,
12/09/2022 09:14,15.055744,10.76847,,,
12/09/2022 09:15,15.055781,10.769597,,,
12/09/2022 09:15,15.057344,10.76954,,,
12/09/2022 09:15,15.05743,10.767637,,,
12/09/2022 09:15,15.05626,10.766484,,,
12/09/2022 09:15,15.057173,10.763934,,,
12/09/2022 09:15,15.058716,10.763645,,,
12/09/2022 09:15,15.058986,10.763439,,,
12/09/2022 09:15,15.06321,10.762577,,,
12/09/2022 09:15,15.083306,10.760313,,,
12/09/2022 09:15,15.086264,10.760774,,,
12/09/2022 09:15,15.081198,10.750707,,,
12/09/2022 09:15,15.070375,10.720192,,,
12/09/2022 09:16,15.070269,10.69737,,,
12/09/2022 09:16,15.07337,10.688699,,,
12/09/2022 09:16,15.080434,10.688809,,,
12/09/2022 09:16,15.083547,10.690012,,,
12/09/2022 09:16,15.099583,10.692019,,,
12/09/2022 09:16,15.100386,10.705488,,,
12/09/2022 09:16,15.100223,10.712883,,,
12/09/2022 09:16,15.094656,10.715141,,,
12/09/2022 09:16,15.08321,10.70451,,,
12/09/2022 09:16,15.062658,10.702008,,,
12/09/2022 09:16,15.0478,10.701742,,,
12/09/2022 09:16,15.04599,10.701498,,,
12/09/2022 09:17,15.046017,10.704367,,,
12/09/2022 09:17,15.046944,10.709895,,,
12/09/2022 09:17,15.047992,10.721813,,,
12/09/2022 09:17,15.047597,10.728464,,,
12/09/2022 09:17,15.048956,10.736175,,,
12/09/2022 09:17,15.052114,10.742362,,,
12/09/2022 09:17,15.057244,10.74697,,,
12/09/2022 09:17,15.089012,10.746834,,,
12/09/2022 09:17,15.120503,10.747233,,,
12/09/2022 09:17,15.119772,10.744663,,,
12/09/2022 09:17,15.117311,10.741709,,,
12/09/2022 09:17,15.11715,10.733752,,,
12/09/2022 09:18,15.110247,10.71108,,,
12/09/2022 09:18,15.095469,10.701562,,,
12/09/2022 09:18,15.086525,10.695686,,,
12/09/2022 09:18,15.086472,10.692926,,,
12/09/2022 09:18,15.10384,10.703731,,,
12/09/2022 09:18,15.128728,10.73462,,,
12/09/2022 09:18,15.134133,10.748048,,,
12/09/2022 09:18,15.133516,10.751559,,,
12/09/2022 09:18,15.139708,10.755787,,,
12/09/2022 09:18,15.14478,10.76688,,,
12/09/2022 09:18,15.1464,10.773816,,,
12/09/2022 09:18,15.146112,10.788352,,,
12/09/2022 09:19,15.146812,10.797634,,,
12/09/2022 09:19,15.170017,10.811351,,,
12/09/2022 09:19,15.188475,10.823184,,,
12/09/2022 09:19,15.200664,10.832563,,,
12/09/2022 09:19,15.20855,10.841036,,,
12/09/2022 09:19,15.215644,10.85017,,,
12/09/2022 09:19,15.210534,10.860978,,,
12/09/2022 09:19,15.178514,10.860892,,,
12/09/2022 09:19,15.173019,10.862459,,,
12/09/2022 09:19,15.172952,10.864871,,,
12/09/2022 09:19,15.176606,10.886035,,,
12/09/2022 09:19,15.179798,10.916159,,,
12/09/2022 09:20,15.179727,11.074319,,,
12/09/2022 09:20,15.171453,11.163366,,,
12/09/2022 09:20,15.159422,11.264977,,,
12/09/2022 09:20,15.135562,11.292702,,,
12/09/2022 09:20,15.133373,11.259763,,,
12/09/2022 09:20,15.137258,11.152577,,,
12/09/2022 09:20,15.168772,11.024768,,,
12/09/2022 09:20,15.185786,10.873916,,,
12/09/2022 09:20,15.192511,10.795236,,,
12/09/2022 09:20,15.198606,10.724172,,,
12/09/2022 09:20,15.202522,10.693016,,,
12/09/2022 09:20,15.204712,10.636913,,,
12/09/2022 09:21,15.198867,10.582111,,,
12/09/2022 09:21,15.19201,10.497495,,,
12/09/2022 09:21,15.174772,10.462774,,,
12/09/2022 09:21,15.170498,10.417145,,,
12/09/2022 09:21,15.164408,10.368559,,,
12/09/2022 09:21,15.148698,10.327909,,,
12/09/2022 09:21,15.134538,10.319091,,,
12/09/2022 09:21,15.134064,10.315552,,,
12/09/2022 09:21,15.132778,10.308014,,,
12/09/2022 09:21,15.123131,10.314033,,,
12/09/2022 09:21,15.114194,10.328874,,,
12/09/2022 09:21,15.125316,10.336258,,,
12/09/2022 09:22,15.13971,10.342499,,,
12/09/2022 09:22,15.137148,10.346914,,,
12/09/2022 09:22,15.110277,10.349211,,,
12/09/2022 09:22,15.088808,10.348201,,,
12/09/2022 09:22,15.073984,10.343962,,,
12/09/2022 09:22,15.059819,10.332135,,,
12/09/2022 09:22,15.059533,10.320967,,,
12/09/2022 09:22,15.06329,10.304277,,,
12/09/2022 09:22,15.081514,10.279848,,,
12/09/2022 09:22,15.088786,10.242284,,,
12/09/2022 09:22,15.09945,10.233087,,,
12/09/2022 09:22,15.100066,10.224315,,,
12/09/2022 09:23,15.09943,10.218616,,,
12/09/2022 09:23,15.09561,10.205068,,,
12/09/2022 09:23,15.088411,10.198517,,,
12/09/2022 09:23,15.091178,10.168846,,,
12/09/2022 09:23,15.098997,10.149591,,,
12/09/2022 09:23,15.09633,10.121628,,,
12/09/2022 09:23,15.090417,10.104018,,,
12/09/2022 09:23,15.1025,10.078738,,,
