Group 2,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Date,Time,Status,Current,Press,Mfm2,Refelec,VoltSup,
,,,Instantaneous value,Instantaneous value,Average,Instantaneous value,Instantaneous value,
,,,A,Bar,Ln/min,V,V,
07.12.2022,06:55:03,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:04,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:05,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:06,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:07,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:08,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:09,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:10,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:11,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:12,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:13,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:14,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:15,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:16,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:17,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:18,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:19,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:20,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:21,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:22,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:23,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:24,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:25,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:26,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:27,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:28,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:29,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:30,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:31,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:32,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:33,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:34,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:35,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:36,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:37,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:38,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:39,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:40,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:41,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:42,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:43,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:44,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:45,OK,0.01,-0.008,0,0,0.14,
07.12.2022,06:55:46,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:47,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:48,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:49,OK,0.01,-0.009,0,0,0.14,
07.12.2022,06:55:50,OK,0.01,-0.008,0,0,0.13,
07.12.2022,06:55:51,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:52,OK,0.01,-0.009,0,0,0.13,
07.12.2022,06:55:53,OK,0.01,-0.008,0,0,0.13,
