Timestamp,Current (A),Gas_Flow_Rate (m3/h),CO2_in (%),CO2_out (%)
0:01:54,4.5,0.5,15.200956,11.945711
0:01:55,4.5,0.5,15.199378,11.946638
0:01:56,4.5,0.5,15.199906,11.955738
0:01:57,4.5,0.5,15.200677,11.966414
0:01:58,4.5,0.5,15.200684,11.969498
0:01:59,4.5,0.5,15.199225,11.969866
0:02:00,4.5,0.5,15.192936,11.970495
0:02:01,4.5,0.5,15.184881,11.974725
0:02:02,4.5,0.5,15.16579,11.986644
0:02:03,4.5,0.5,15.145034,11.983923
0:02:04,4.5,0.5,15.123469,11.97863
0:02:05,4.5,0.5,15.116655,11.975845
0:02:06,4.5,0.5,15.110127,11.96821
0:02:07,4.5,0.5,15.110356,11.966298
0:02:08,4.5,0.5,15.118969,11.95757
0:02:09,4.5,0.5,15.130836,11.944474
0:02:10,4.5,0.5,15.138242,11.908043
0:02:11,4.5,0.5,15.14456,11.857348
0:02:12,4.5,0.5,15.145672,11.809636
0:02:13,4.5,0.5,15.139305,11.674675
0:02:14,4.5,0.5,15.138311,11.599317
0:02:15,4.5,0.5,15.14135,11.522846
0:02:16,4.5,0.5,15.145047,11.476655
0:02:17,4.5,0.5,15.147825,11.437662
0:02:18,4.5,0.5,15.147,11.412841
0:02:19,4.5,0.5,15.143748,11.314691
0:02:20,4.5,0.5,15.14266,11.289663
0:02:21,4.5,0.5,15.144842,11.278847
0:02:22,4.5,0.5,15.14654,11.275636
0:02:23,4.5,0.5,15.15175,11.273983
0:02:24,4.5,0.5,15.157592,11.274277
0:02:25,4.5,0.5,15.157478,11.307313
0:02:26,4.5,0.5,15.15244,11.374282
0:02:27,4.5,0.5,15.152497,11.443129
0:02:28,4.5,0.5,15.151528,11.533497
0:02:29,4.5,0.5,15.151125,11.567909
0:02:30,4.5,0.5,15.147917,11.603059
0:02:31,4.5,0.5,15.1455,11.615421
0:02:32,4.5,0.5,15.145967,11.659556
0:02:33,4.5,0.5,15.146472,11.687415
0:02:34,4.5,0.5,15.155978,11.707303
0:02:35,4.5,0.5,15.164717,11.711786
